"GIRIHARJO","PANGGANG","GUNUNGKIDUL","Polsek Panggang","","0821-1536-5996","-8.012370436","110.4202979"
"GOTAKAN","PANJATAN","KULON PROGO","Polsek Panjatan","","(0274) 774045","-7.896502816","110.1623425"
"PATUK","PATUK","GUNUNGKIDUL","Polsek Patuk","","(0274) 7467164","-7.8516782","110.4873887"
"PENGASIH","PENGASIH","KULON PROGO","Polsek Pengasih","","(0274) 774521","-7.84301252","110.1679244"
"SRIMULYO","PIYUNGAN","BANTUL","Polsek Piyungan","24 jam","(0274) 522942","-7.837046968","110.4750502"
"GADING","PLAYEN","GUNUNGKIDUL","Polsek Playen","","(0274) 394223","-7.914084828","110.5565261"
"PLERET","PLERET","BANTUL","Polsek Pleret","","(0274) 2810902","-7.865907623","110.4044849"
"GENJAHAN","PONJONG","GUNUNGKIDUL","Polsek Ponjong","","(0274) 7489102","-7.972410096","110.7129253"
"BOKO HARJO","PRAMBANAN","SLEMAN","Polsek Prambanan","","(0274) 496593","-7.759389555","110.4884239"
"SRIHARDONO","PUNDONG","BANTUL","Polsek Pundong","","(0274) 6464118","-7.95531167","110.3450027"
"GIRITIRTO","PURWOSARI","GUNUNGKIDUL","Polsek Purwosari","","(0274) 7467152","-7.993951922","110.3738289"
"SEMUGIH","RONGKOP","GUNUNGKIDUL","Polsek Rongkop","24 jam","0811-2687-423","-8.068027189","110.7591525"
"NGARGOSARI","SAMIGALUH","KULON PROGO","Polsek Samigaluh","24 jam","(0274) 2821497","-7.659608649","110.156616"
"GADINGHARJO","SANDEN","BANTUL","Polsek Sanden","24 jam","0811-2580-988","-7.976026298","110.2708759"
"KEPEK","SAPTOSARI","GUNUNGKIDUL","Polsek Saptosari","24 jam","0813-5360-3097","-8.046414265","110.5145987"
"AGROMULYO","SEDAYU","BANTUL","Polsek Sedayu","24 jam","(0274) 6498549","-7.811817781","110.2709039"
"SEMANU","SEMANU","GUNUNGKIDUL","Polsek Semanu","24 jam","(0274) 392404","-8.004285097","110.6588154"
"BENDUNG","SEMIN","GUNUNGKIDUL","Polsek Semin","","(0274) 7467160","-7.863079868","110.7253051"
"SENTOLO","SENTOLO","KULON PROGO","Polsek Sentolo","","(0274) 6472110","-7.826773458","110.2251369"
"BANGUNHARJO","SEWON","BANTUL","Polsek Sewon","","(0274) 445585","-7.847244972","110.3603511"
"MARGOMULYO","SEYEGAN","SLEMAN","Polsek Seyegan","24 jam","(0274) 794454","-7.720159703","110.3087412"
"TRIHARJO","SLEMAN","SLEMAN","Polres Sleman","","(0274) 868424","-7.696733932","110.3470601"
"TRIHARJO","SLEMAN","SLEMAN","Polsek Sleman","24 jam","(0274) 868559","-7.706527489","110.3477023"
"KEMIRI","TANJUNGSARI","GUNUNGKIDUL","Polsek Tanjungsari","","+ 62 87839031070","-8.064034265","110.5782326"
"KARANGWARU","TEGALREJO","YOGYAKARTA","Polsek Tegalrejo","24 jam","(0274) 513877","-7.772211434","110.361509"
"TEMON WETAN","TEMON","KULON PROGO","Polsek Temon","","(0274) 774428","-7.88665393","110.0813843"
"LUMBUNG REJO","TEMPEL","SLEMAN","Polsek Tempel","24 jam","(0274) 869110","-7.65252315","110.3264973"
"WONO KERTO","TURI","SLEMAN","Polsek Turi","","(0274) 896705","-7.648769608","110.3666404"
"PANDEYAN","UMBULHARJO","YOGYAKARTA","Polsek Umbulharjo","24 jam","(0274) 373916","-7.816826243","110.3858139"
"WATES","WATES","KULON PROGO","Polsek Wates","24 jam","(0274) 774418","-7.856824553","110.1599465"
"WIROBRAJAN","WIROBRAJAN","YOGYAKARTA","Polsek Wirobrajan","24 jam","(0274) 374832","-7.807084765","110.3503892"
"SIRAMAN","WONOSARI","GUNUNGKIDUL","Polsek Wonosari","24 jam","0877-3875-3111","-7.974610812","110.594397"
"BRONTOKUSUMAN","MERGANGSAN","YOGYAKARTA","Polsek Mergangsan","24 jam","(0274) 375138","-7.818055706","110.373278"
